video_id,create_time_ts,caption_raw,hashtags,author_id,author_username,view_count,like_count,comment_count,share_count,save_count,source_type,source_query,crawled_at,crawled_at_ts,author_signature,author_follower_count,author_verified,video_duration_sec,music_id,has_music,brand
7623314174197730582,1774941159,rate this new adidas f50 out of 10 ⬇️ #adidas #footballboots #footballer #footballtiktok #messi ,"adidas,footballboots,footballer,footballtiktok,messi",6678188941840155653,prodirectsoccer,4802,142,6,7,17,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,2077090,verified account,21,7572310664553056257,True,adidas
7559987311237254414,1760196724,"Obsessed, the Adidas Spezials are perfection.  #sneakers #adidassneakers #adidas #spezial #tiktokshopcreatorpicks @adidas @Laced Up Live ","sneakers,adidassneakers,adidas,spezial,tiktokshopcreatorpicks",7062163747462841391,tina_prn,532927,1699,27,286,654,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,56559,,41,7559987257852152631,True,adidas
7624233650627923231,1775155241,Limited drop-grab it quick! Size down 1/2 size for no extra space! #adidas #adidassamba #sneakers #sneakertok #tiktokshopcreatorpicks ,"adidas,adidassamba,sneakers,sneakertok,tiktokshopcreatorpicks",6641660428740427782,adrianegweyn,7426,1286,3,42,86,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,157718,,11,7543638339526724383,True,adidas
7624255167562583310,1775160251,obsessed with the neutral sambas #adidas #sambas #sneakers #adidassamba #tiktokshopcreatorpicks ,"adidas,sambas,sneakers,adidassamba,tiktokshopcreatorpicks",7302507471469298734,alexandrasfinds1,801,2,0,1,2,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,20741,,16,7624255181349948173,True,adidas
7624570723566144781,1775233743,ADIDAS Samba ADV Shoes #sneaker #shoes #streatwear #tiktokshop #athlete #tiktokmademebuyit #tiktokviral #buynow #shopnow #shopping #adidias ,"sneaker,shoes,streatwear,tiktokshop,athlete,tiktokmademebuyit,tiktokviral,buynow,shopnow,shopping,adidias",7571565031478363149,realbeautyfinds30,7,0,0,0,0,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,5697,,6,7551400490156706571,True,adidas
7624467233493781773,1775209707,ADIDAS Superstar ADV Nubuck Shoes #shopnow #buynow #tiktokviral #tiktokmademebuyit #athlete #tiktokshop #streatwear #shoes #sneaker ,"shopnow,buynow,tiktokviral,tiktokmademebuyit,athlete,tiktokshop,streatwear,shoes,sneaker",7571565031478363149,realbeautyfinds30,21,0,0,0,0,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,5697,,7,7355730432355502096,True,adidas
7594998342241799455,1768348369,These @adidas drops are going fast I'm 5’7 175lbs Top: XS Bottoms: 10 Coat: Small #createdwithadidas #adidaspartner #adidas #LTKStyle #adidasclothing,"createdwithadidas,adidaspartner,adidas,ltkstyle,adidasclothing",7116955181292651562,biancasamonefinds,415863,21715,479,3337,4919,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,132784,,19,7569805400117594113,True,adidas
7621276091654638862,1774466644,Adidas F50😍🥀❤️⚽️#lamineyamal💎 #adidas ##elite #soccerboots #footballboots #soccercleats #Soccer #f50 ,"lamineyamal💎,adidas,elite,soccerboots,footballboots,soccercleats,soccer,f50",7433726455073522731,soccerkitkingdom,725548,99217,494,10123,9432,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,42034,,20,7532059482282985489,True,adidas
7620168074343337247,1774208653,Recent shoe pickup | adida superstars 2 #fashiontiktok #streetwear #outfitideas #shoes #haul ,"fashiontiktok,streetwear,outfitideas,shoes,haul",7350785899313726507,k.lub,40447,2953,42,28,209,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,99676,,15,7602500357088577553,True,adidas
7623505312854723853,1775221200,@Tillys ADIDAS SAMBAS #tiktokshopcreatorpicks #TikTokShopSpringGlowUp #RefreshedLook #sneakers #adidas ,"tiktokshopcreatorpicks,tiktokshopspringglowup,refreshedlook,sneakers,adidas",6741343909848318981,jess.d.neal,145,8,4,0,3,hashtag,adidastiktok,2026-04-04 00:48:08,1775234888,,23108,,22,7623505501782838029,True,adidas
