video_id,create_time_ts,caption_raw,hashtags,author_id,author_username,view_count,like_count,comment_count,share_count,save_count,source_type,source_query,crawled_at,crawled_at_ts,author_signature,author_follower_count,author_verified,video_duration_sec,music_id,has_music,brand
7623968360438467854,1775093484,Dm me for early access #clothingbrand #viral #fyp #baggy #drip ,"clothingbrand,viral,fyp,baggy,drip",7440587867380417582,clothingbypiece,6228,856,17,2,39,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,3007,,13,7586886863323941645,True,adidas
7614255468256578838,1772832009,The best back to school summer streetwear tracksuits rotation 🥇 What do you think? 💭 #streetwear #mensfashion #hoodie #fashiontiktok #fashion  ,"streetwear,mensfashion,hoodie,fashiontiktok,fashion",7424885544427537440,murphyr3ps,40206,1625,124,83,555,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,72005,,21,7423266440700021550,True,adidas
7609739055315569942,1771780446,Love my supporters fr <3 #clothingbrand #streetwear #tracksuit ,"clothingbrand,streetwear,tracksuit",7601580123503281174,cronuzukk,44614,5061,209,29,237,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,1229,,8,7609739046661868310,True,adidas
7612720673969949974,1772474659,BEST TRACKSUIT of the YEAR! ALO tracksuit collection - pick up from my spreadsheet!#alo #aloyoga #acbuy #ukfashion #tracksuit ,"alo,aloyoga,acbuy,ukfashion,tracksuit",7535762719808848918,reputableunboxed,77378,2024,100,307,1016,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,6595,,72,7554428814249101346,True,adidas
7619746475127426326,1774110482,Tracksuits are almost sold out 🤍🐐 Goated.se #Goated #newdrop #fyp #foryoupage❤️❤️ #tracksuit ,"goated,newdrop,fyp,foryoupage❤️❤️,tracksuit",7033494829511640070,goated.se,89893,6629,35,1402,290,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,5499,,5,7497958379294558999,True,adidas
7622027556132375821,1774641600,Should I keep this tracksuit?,,6796612737268663302,alphamofficial,9270,196,24,10,23,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,1149911,,41,7622027548393884429,True,adidas
7601140844204264726,1769778521,So comfy @aelfriceden_official #fyp #bluetracksuit #cool #electricblue #real ,"fyp,bluetracksuit,cool,electricblue,real",7473166312568898592,gracieecrane,7934310,606499,472,17351,44347,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,172480,,15,7596096343983000333,True,adidas
7606731167177559318,1771080118,ig: 58deal #vinted #vintage #football #tracksuit ,"vinted,vintage,football,tracksuit",7600834822827836438,58deal58,454133,11954,35,698,1264,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,7644,,9,7606731174332877590,True,adidas
7617177138843634966,1773512261,SHOP our tracksuits NOW! iceeskies.com🩵 #iceeskies #norisknorari ,"iceeskies,norisknorari",7262364659738248224,iceeskies,904529,118056,230,3949,13852,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,37000,,7,7453989598031235862,True,adidas
7611235872989646102,1772128953,NYLON TRACKSUIT DROP 8TH MARCH! #nylon #tracksuit #streetwear #fashion #fyp ,"nylon,tracksuit,streetwear,fashion,fyp",7417918013452682272,octvproject,7778,524,8,5,34,hashtag,tracksuit,2026-04-04 00:53:23,1775235203,,2179,,10,7502137723774782230,True,adidas
