video_id,create_time_ts,caption_raw,hashtags,author_id,author_username,view_count,like_count,comment_count,share_count,save_count,source_type,source_query,crawled_at,crawled_at_ts,author_signature,author_follower_count,author_verified,video_duration_sec,music_id,has_music,brand
7624322223662206222,1775175872,The Nike Kobe 1 Protro “81 Points” is an iconic moment perfectly encapsulated in a colorway. And it’s an all time great performance model👀 Are you rocking with the “81 Points” Kobe 1 Protro? Lmk in the comments below ⬇️ #kobe #kobeshoes #basketballshoes #kobe1 #protro ,"kobe,kobeshoes,basketballshoes,kobe1,protro",6918063661253608453,alwaysballingeveryday,914,74,10,0,5,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,29333,,181,7624322293925301006,True,nike
7624177130233924887,1775142072,Performance Review Nike GT Cut 4 ‘Photo Blue‘💙 Definitely not what i expected after all these negative early reviews. YES the materials need break-in time. YES the tounge is weird but not annoying for me. Cushioning is amazing☁️ Traction and support is top-tier🛝🔒 Available @Dunk Shop 🔥 #nikebasketball #gtcut #nike #hooper #performancereview ,"nikebasketball,gtcut,nike,hooper,performancereview",7382333168566715424,kicks4ballers,6337,202,2,4,17,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,1071,,24,7609781976409458704,True,nike
7617372695193275678,1773597600,Nike GT Future LX “Warning Label” Sneaker Review #tonycrosby #crosbykicks ,"tonycrosby,crosbykicks",7356430039779296299,crosby.kicks,243252,17998,60,2654,1867,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,84866,,59,7290610754668874502,True,nike
7624372566244740383,1775224800,Nike Kobe 3 Low Protro  “Warning Label” Sneaker Review #crosbykicks #tonycrosbyy ,"crosbykicks,tonycrosbyy",7356430039779296299,crosby.kicks,2335,160,2,5,8,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,84866,,60,7475976505480415233,True,nike
7624248247309094166,1775158630,@Nike RUNNING VEST REVIEW 🔥 I’ve been rocking these Nike running vests for the past 8 years… and they’re still undefeated #nikerunning,nikerunning,6807180662350824453,louor7,659,63,6,12,2,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,1926,,40,7299763084615714818,True,nike
7615236123530513694,1773060343,The Nike SB Malor sneakers are durable and quality constructed to take a beating. Very comfortable and built to last! Click the shop link and get yours today! . . #nikeshoes #skateshoes #nikesneakers #mensshoes #menssneakers ,"nikeshoes,skateshoes,nikesneakers,mensshoes,menssneakers",6805669792730121221,ariugcenthusiast,3017,10,1,3,1,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,152709,,54,7247323811724281858,True,nike
7619126048852036894,1773970200,Dylan Harper x Nike GT Cut 1 “Unseen Hours” P.E. Sneaker Review #tonycrosbyy #crosbykicks ,"tonycrosbyy,crosbykicks",7356430039779296299,crosby.kicks,44203,3617,59,456,344,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,84866,,60,7302504880751888386,True,nike
7622088489009433887,1774735200,Nike Lebron 23 “Masked Menace” Sneaker Review #crosbykicks #tonycrosbyy ,"crosbykicks,tonycrosbyy",7356430039779296299,crosby.kicks,13851,991,24,69,93,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,84866,,60,7381610074902498091,True,nike
7598990740022250807,1769277942,🚨 Nike Mercurial Vapor 16 REVIEW ⚽️ Shop @Soccer.com for the NEW @Nike Football Mercurial Vapor ‘Attack Pack’   📲🛍️ #Soccer #football #footballboots #soccercleats #nike ,"soccer,football,footballboots,soccercleats,nike",7142669978444088363,gcfctraining,476707,30436,146,1453,2526,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,403305,,63,7410154644670105601,True,nike
7617159611065437453,1773508214,Vapor or Superfly? 🤔 Shop @Soccer.com for the NEW @Nike Football Mercurial Vapor and Superfly ‘Mbappe’ 📲🛍️ #Soccer #football #soccercleats #footballboots #review ,"soccer,football,soccercleats,footballboots,review",7142669978444088363,gcfctraining,125616,7345,50,182,528,hashtag,nikereview,2026-04-04 00:39:30,1775234370,,403305,,60,7410154644670105601,True,nike
