video_id,create_time_ts,caption_raw,hashtags,author_id,author_username,view_count,like_count,comment_count,share_count,save_count,source_type,source_query,crawled_at,crawled_at_ts,author_signature,author_follower_count,author_verified,video_duration_sec,music_id,has_music,brand
7624491067282394370,1775215171,"Styling the Nike Air Max 95 OG Big Bubble Pink Foam 👟🫧 The Nike Air Max 95 OG Big Bubble Pink Foam (Women’s) is one of those pairs that just works with whatever you’ve got going on. Easy to dress up or keep laid-back, it slots into everyday outfits without much effort. The mix of black and white keeps it versatile, while the Pink Foam adds a subtle pop that lifts the whole look. You can keep things simple and let the trainers stand out, or build around them if you’re going for something a bit more put together. Comfort’s there all day with the Air cushioning, so it’s not just about how they look, it’s how they wear too. A solid go-to you can rely on whatever the plan is. 🧢: @neweracap  👕: @SIXTH JUNE  👖: @ZARA  👟: @Nike  @JD Sports @OFFSPRINGHQ @eBay UK  #sneakers #sneakerhead #sneakeraddict #sneakercollection #snkrs ","sneakers,sneakerhead,sneakeraddict,sneakercollection,snkrs",7325173210407781409,john.swarvay,1172,80,6,2,8,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,39758,,23,7528629984139807504,True,nike
7617387464952401174,1773561241,Ig:hoonzin_ #OOTD #outfit#streetwear#fashion #swag ,"ootd,outfit,streetwear,fashion,swag",7240134504752055323,hooonzikk,7576,360,14,39,60,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,1774,,12,7612720097010551574,True,nike
7621489642411429141,1774516348,How @ella christo is styling her new @Nike Air Max 95 ‘Pink Foam’ 🎀💫 Out now at JD!,,6784628463887434757,jdsportsau,17753,117,8,27,28,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,343164,verified account,15,7621494833089137429,True,nike
7622975612973567254,1774862328,"Part 2 , like for part 3#nike #nikepro #nikeproshorts #part3 #part3nikeproshorts @Nike ","nike,nikepro,nikeproshorts,part3,part3nikeproshorts",7317230177259308064,h0ls.aesthetic,3329,111,7,15,15,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,1070,,8,7621139217222011669,True,nike
7617463905400425749,1773579034,Costureira é o segredo pra melhorar a tech fleece. #fy #streetwear #style #nike #outfit ,"fy,streetwear,style,nike,outfit",7503731297493664774,fxitoza,685759,30032,240,1208,3260,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,1365,,17,7617463954059201287,True,nike
7100235869008710955,1653152488,This one’s for my sporty chicks!! 😎 ✨ (fits are Nike Need it Now from @JD Sports ) #nikeneeditnow ad #fashiontips,"nikeneeditnow,fashiontips",6718857753907840006,victoriagarrickbrowne,1569011,31392,92,214,1578,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,1387712,Popular creator,53,7094605781563083566,True,nike
7583078554443844884,1765573071,#style #sneakers #styletips #nike #airmax ,"style,sneakers,styletips,nike,airmax",7431952136956675078,nmstyle12,2840364,164552,686,10248,17924,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,1733,,15,7122534954633890566,True,nike
7584022489701911828,1765792851,Must have Nike Sneakers before 2025 ends! #nike #sneakers #streetwear #StreetStyle #nikeshox ,"nike,sneakers,streetwear,streetstyle,nikeshox",7352038336393626629,imrobinjay,356709,12605,85,401,1749,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,102639,,28,7562217496606968606,True,nike
7622220502026702102,1774686514,Style my vintage Nike jacket with me #fyp #viral #xyzabc #streetwear #fitcheck ,"fyp,viral,xyzabc,streetwear,fitcheck",7603472045720175638,jzm.garms,3833,212,24,18,8,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,372,,35,7438340793273879328,True,nike
7483545122706115883,1742398641,Seven ways to style the Nike ReactX Rejuven8 #nike #reactx #rejuven8 #nikeshoes #slides #crocs #clogs ,"nike,reactx,rejuven8,nikeshoes,slides,crocs,clogs",7275534073935004718,walking.kicks,463768,14143,187,1443,1545,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,12722,,60,7470876675554183169,True,nike
7612715020727668001,1772473353,Nike Dunk low Outfit inspo #streetwear #streetwearstyle #fashion ,"streetwear,streetwearstyle,fashion",7067248499309790214,david.kxm,13045,499,22,13,36,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,105850,,18,7215391721000061738,True,nike
7557407936964873494,1759596158,Would you wear these pants? 😍 #nike #vintage #OOTD #trackpants #style ,"nike,vintage,ootd,trackpants,style",7100200588805948421,takavintage,3947538,178765,508,13595,26288,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,29933,,13,7557407935375788822,True,nike
7609291645246295318,1771676277,These Colors + Baggy Style🔥 #vintage #baggy #jogger #nike #streetwear ,"vintage,baggy,jogger,nike,streetwear",7051175067280212998,sportpacks_,1021754,18967,58,855,2325,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,168702,,9,7609291653660035862,True,nike
7598162901194509590,1769085164,How to style a ski mask #danielpeststylists #nikeski #fypシ゚viral🖤tiktok #fashiontiktok #fyp ,"danielpeststylists,nikeski,fypシ゚viral🖤tiktok,fashiontiktok,fyp",6969499898002670597,danielpeststylists,589438,13625,88,500,2725,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,27856,,18,7588174011991460638,True,nike
7350858210271644971,1711505070,AD| @Nike fits for any occasion #teamnike #nikeirl #fyp #inspo #springoutfit #inspooutfit ,"teamnike,nikeirl,fyp,inspo,springoutfit,inspooutfit",6740352920195843077,eliannaarvizu,18237,1160,9,17,142,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,108451,,12,7006378378982869765,True,nike
7573093687803006239,1763248294,HOW TO STYLE A NIKE TECH IN 2025 #fyp #quarterzips #niketech #fashion #outfitinspo ,"fyp,quarterzips,niketech,fashion,outfitinspo",7517954699384882206,so.notfound,197755,8245,128,159,1183,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,20137,,87,7234222652599846914,True,nike
7624252630289681694,1775159657,"Look of the Day | Nike Set I prefer comfort while traveling. A cozy @Nike set and slim sneakers is my go-to travel-style.  Do you prefer a jogging set, leggings , or jeans, when traveling? •outfits 🔗 in Stories & ShopMy  #nike #nikewomen #outfit #travel #nikeset ","nike,nikewomen,outfit,travel,nikeset",6968642203846231046,simplyherlifestyle,437,35,4,1,1,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,14369,,32,7596418848174344982,True,nike
7578166805324205335,1764429460,Wear what you want! Unbothered in my nike Shox Z! Have you ever received hate online? @Zalando #teamnike |Ad ,teamnike,6803421140993557510,futurist__,437910,41812,1239,604,3878,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,1984142,,34,7257339264492472322,True,nike
7581991770515426590,1765320046,Comfy quarter zip fit #fashiontiktok #streetwear #outfitinspo #outfitideas #quarterzip ,"fashiontiktok,streetwear,outfitinspo,outfitideas,quarterzip",7350785899313726507,k.lub,81687,4189,35,45,394,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,99632,,39,7581991730801773342,True,nike
7570059127876029718,1762541744,Versatile looks with my Nike T90! #NikeStyleBy #TeamNike #AD ,"nikestyleby,teamnike,ad",6698031126558655493,dbridg,8077026,3888,43,364,447,hashtag,nikestyle,2026-04-04 00:35:21,1775234121,,63809,,15,7138156802184595458,True,nike
7312549019128024325,1702585499,My looks at the @Nike womens dance event! Which one was your favorite? 👀 #teamnike #nikeirl #nikewomen #OOTD #fitcheck #nikeoutfits ,"teamnike,nikeirl,nikewomen,ootd,fitcheck,nikeoutfits",6622117233815388166,ellalucas00,25713,584,4,2,28,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,858537,,18,7122866432488802305,True,nike
7603191479988735245,1770255992,Couldn’t be more obsessed with this combo!  Nike Vomero 5 Summit White / Light Smoke Grey / Smoke Grey / Metallic Silver & Nike sparkly ankle socks!  Love this combo @Nike  #nikevomero5 #nikevomero #vomero5 #nikesocks #nikevomero5,"nikevomero5,nikevomero,vomero5,nikesocks,nikevomero5",6741907847539868678,kicksbymads,168275,4136,39,336,686,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,6788,,17,7519589250258570039,True,nike
6842850059969629445,1593225187,Comment your favorite Nike look. 🔥 #nike #outfits #styletips #Fitness #Lifestyle,"nike,outfits,styletips,fitness,lifestyle",6779333061818647558,lauren_fisherr,14062,795,15,4,11,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,71394,,19,6813134956269947654,True,nike
7227525402753781034,1682789403,"If you need a great casual sneaker, but don’t want to break the bank, the Nike Killshot 2 is a great option. It’s simple, stylish, and timeless! #mensfashion #mensstyle #mensstyleguide #mensfashiontips #mensfashionadvice #outfitideas #mensoutfitideas #nike #nikekillshot2 ","mensfashion,mensstyle,mensstyleguide,mensfashiontips,mensfashionadvice,outfitideas,mensoutfitideas,nike,nikekillshot2",6767002914998584325,david.james.elliott,1095985,8530,98,1045,3220,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,197680,,65,7227525392578677550,True,nike
7421147358668262688,1727870527,ad Four ways to wear @Nike shox this Autumn/Winter #nike #nikeshox #teamnike #nikestyleby ,"nike,nikeshox,teamnike,nikestyleby",6614899965159604230,lissyroddy,6267400,2645,16,67,209,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,140515,,18,7421147407453735713,True,nike
7559581916685421846,1760102329,Neeeed this Baggy Nike Jogger😍 #baggy #jogger #nike #streetwear #vintagefashion,"baggy,jogger,nike,streetwear,vintagefashion",6891275730241422337,grab_the_brand,6191374,181987,549,21737,30674,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,113679,,7,7559581906443586326,True,nike
7622368190009445654,1774720896,styling nike tn #fits #fyp #clean #viral #fashion ,"fits,fyp,clean,viral,fashion",7604045147508737046,es.bee_,3246,191,19,236,6,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,833,,48,7197751997766830081,True,nike
7622370663646432534,1774721473,Best summer outfits(2026)🥵🔥 #drip #Summer #2026 #nike #viral ,"drip,summer,2026,nike,viral",7548447030876603414,drip.goat7,22786,271,11,7,45,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,2687,,15,7605338273287834376,True,nike
7176392952397237550,1670884194,Replying to @vscobythesea Styling my new Nikes!✨💗😋 #styleinspo #styletips #outfitinspo #OOTD #grwm #nikeshoes #fitcheck #fallfashion #outfitideas ,"styleinspo,styletips,outfitinspo,ootd,grwm,nikeshoes,fitcheck,fallfashion,outfitideas",6678266404762649605,halliek8,26675,2240,37,34,192,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,125697,,12,7163767893615135493,True,nike
7504445901700631839,1747264978,Help Both are so cute I can’t choose 😫😍 #cuteoutfits #twinning #styling #grwm #wearingvsstyling #nike ,"cuteoutfits,twinning,styling,grwm,wearingvsstyling,nike",7169714537069888554,razzi_boo,570316,18581,684,203,2084,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,1081266,,24,7424223404997266207,True,nike
6944020902552096006,1616780859,Rocking with that all Nike fit‼️✨ #fyp #fashion,"fyp,fashion",6626499486434852869,vvictornguyen,571390,47769,191,227,2066,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,1063144,,16,6868391694706952966,True,nike
7623982206037413150,1775096705,My fav style of Nike shorts #OOTD #nike #outfitinspo #SummerFit #purple ,"ootd,nike,outfitinspo,summerfit,purple",6776343197381526534,mik25___,1885,231,2,4,18,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,8610,,8,7254297084338359066,True,nike
7453860260063759646,1735487104,These was rushed so they don’t look as neat 😂 #fyp #viralvideo #skimask #nikeski #tutorial ,"fyp,viralvideo,skimask,nikeski,tutorial",7400445350542607406,leel.trimm,3148856,109664,961,4881,34259,hashtag,nikestyle,2026-04-04 00:35:26,1775234126,,3521,,25,7304050209225918465,True,nike
