video_id,create_time_ts,caption_raw,hashtags,author_id,author_username,view_count,like_count,comment_count,share_count,save_count,source_type,source_query,crawled_at,crawled_at_ts,author_signature,author_follower_count,author_verified,video_duration_sec,music_id,has_music,brand
7620465798120819981,1774278012,"Terrifyingly young, terrifyingly good. Sinistro tá vindo… @Estevão Willian  #brasil #futebol #jordan #estevao ","brasil,futebol,jordan,estevao",6634632770432040965,jumpman23,53687,5637,53,151,286,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,8,7620465977808964366,True,nike
7620095097262132493,1774191695,Try to keep up. Sinistro tá vindo… @Vini Jr.  #brasil #futebol #jordan #vinijr ,"brasil,futebol,jordan,vinijr",6634632770432040965,jumpman23,207228,32352,163,1342,1971,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,8,7620095226539002638,True,nike
7617854564158721293,1773669997,Rep the Seleção. Rock the Jumpman. An homage to the intense fandom of football’s greatest nation. Brasil Futebol x Jordan Brand. Out now. #jordan #brasil #futebol ,"jordan,brasil,futebol",6634632770432040965,jumpman23,38615,1706,28,48,79,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,17,7617854556357298958,True,nike
7616810263039200525,1773426860,No pitch is safe. Cut and control the pitch in the Jordan Tiempo Maestro. Out now.,,6634632770432040965,jumpman23,6429504,628871,1902,101829,41787,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,15,7616810322301209358,True,nike
7616059380420611341,1773252061,Sinistro tá vindo…,,6634632770432040965,jumpman23,4472577,71911,820,4514,3615,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,45,7616059590362385165,True,nike
7614158135435005197,1772809352,"Get buckets. Serve looks. Put the world on notice.  Welcome to the fam, @Azzi Fudd. #WBB #jordan #basketball ","wbb,jordan,basketball",6634632770432040965,jumpman23,122481,16301,206,503,1274,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,24,7614158164489571085,True,nike
7614157456733785357,1772809198,POV: You were just signed to Jordan Brand 🤩 Excited to join the fam! ❤️@Jordan Brand ,,55172575386955776,azzi35,362407,56443,389,1187,2614,user,jumpman23,2026-04-04 00:28:02,1775233682,I play basketball,720620,Verified account,23,7614157465974393613,True,nike
7608620946991090957,1771520149,More cushioning. More buckets. No compromise. Jordan Heir Series 2. Dropping 2.20.26. #JordanBrand #HeirSeries2 #womenshoops #basketball ,"jordanbrand,heirseries2,womenshoops,basketball",6634632770432040965,jumpman23,222161,13767,65,618,723,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,30,7608621076658014989,True,nike
7608250701004819725,1771433958,For the game that demands everything. @Napheesa Collier introduces the Jordan Heir Series 2.  Dropping 2.20.26 #Jordanbrand #HeirSeries2 #womenshoops #basketball #napheesa ,"jordanbrand,heirseries2,womenshoops,basketball,napheesa",6634632770432040965,jumpman23,42823,944,14,25,55,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,22,7608250861625674509,True,nike
7607865052854619406,1771344174,No overtime needed. @Yo. It’s Tati gets straight to it. #Jordan #thisorthat ,"jordan,thisorthat",6634632770432040965,jumpman23,42748,1023,30,23,44,user,jumpman23,2026-04-04 00:28:02,1775233682,OUR TURN,1180690,verified account,55,7607865225437547278,True,nike
